"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1179","Parella","13.16","17.7","8.98","16.07","Torino","TO","Piemonte","45.430320","7.791540"
"1180","Pavarolo","9.82","14.3","9.06","8.97","Torino","TO","Piemonte","45.068862","7.836106"
"1181","Pavone Canavese","10.91","9.71","10.02","13.42","Torino","TO","Piemonte","45.434368","7.854605"
"1182","Pecco","0","13.76","17.9","22.62","Torino","TO","Piemonte","45.452185","7.776052"
"1183","Pecetto Torinese","9.07","10.04","14.44","10.36","Torino","TO","Piemonte","45.017175","7.749943"
"1184","Perosa Argentina","17.21","19.63","15.34","14.28","Torino","TO","Piemonte","44.956840","7.191946"
"1185","Perosa Canavese","14.49","9.24","7.46","5.61","Torino","TO","Piemonte","45.395581","7.832388"
"1186","Perrero","22.26","25.7","16.64","28.61","Torino","TO","Piemonte","44.938519","7.114232"
"1187","Pertusio","12.68","10.25","14.26","11.78","Torino","TO","Piemonte","45.353491","7.643421"
"1188","Pessinetto","21.21","13.18","19.92","14.79","Torino","TO","Piemonte","45.288644","7.403925"
"1189","Pianezza","6.87","7.24","8.55","9.49","Torino","TO","Piemonte","45.100677","7.544765"
"1190","Pinasca","13.22","12.51","9.86","18.35","Torino","TO","Piemonte","44.944212","7.225077"
"1191","Pinerolo","11.14","12.95","11.62","10.82","Torino","TO","Piemonte","44.884591","7.330668"
"1192","Pino Torinese","10.49","10.39","12.05","10.99","Torino","TO","Piemonte","45.043162","7.773809"
"1193","Piobesi Torinese","10.88","10.61","9.02","11.9","Torino","TO","Piemonte","44.932248","7.610999"
"1194","Piossasco","8.17","9.7","10.05","8.7","Torino","TO","Piemonte","44.989831","7.468200"
"1195","Piscina","7.01","9.97","9.17","9.2","Torino","TO","Piemonte","46.217151","10.162866"
"1196","Piverone","14.11","22.93","10.17","22.05","Torino","TO","Piemonte","45.447688","8.007393"
"1197","Poirino","8.03","11.52","9.25","9.9","Torino","TO","Piemonte","44.919440","7.848196"
"1198","Pomaretto","8.65","17.56","22.92","15.04","Torino","TO","Piemonte","44.955798","7.182172"
"1199","Pont-Canavese","15.62","13.1","13.43","16.18","Torino","TO","Piemonte","45.419916","7.597231"
"1200","Porte","14.42","7.38","13.97","10.36","Torino","TO","Piemonte","44.886696","7.272158"
"1201","Pragelato","9.14","7.78","6.42","7.66","Torino","TO","Piemonte","45.014349","6.941579"
"1202","Prali","20.04","8.15","16.36","16.49","Torino","TO","Piemonte","44.888814","7.051742"
"1203","Pralormo","13.23","16.31","12.34","16.49","Torino","TO","Piemonte","44.859989","7.902934"
"1204","Pramollo","7.89","27.08","28.23","17.13","Torino","TO","Piemonte","44.902948","7.215019"
"1205","Prarostino","16.62","17.36","18.06","19.65","Torino","TO","Piemonte","44.873453","7.287066"
"1206","Prascorsano","13.08","18.58","9.35","17.33","Torino","TO","Piemonte","45.367634","7.616926"
"1207","Pratiglione","12.5","11.01","9.31","15.24","Torino","TO","Piemonte","45.351460","7.597555"
"1208","Quagliuzzo","18.1","3.05","15.08","24.06","Torino","TO","Piemonte","45.425989","7.780870"
"1209","Quassolo","8.22","27.93","22.79","11.51","Torino","TO","Piemonte","45.523753","7.833192"
"1210","Quincinetto","16.59","12.68","7.78","14.67","Torino","TO","Piemonte","45.562412","7.805288"
"1211","Reano","7.18","11.54","10.49","10.57","Torino","TO","Piemonte","45.051682","7.429690"
"1212","Ribordone","34.19","54.05","59.41","20.62","Torino","TO","Piemonte","45.432417","7.502433"
"1213","Rivalba","9.6","12.17","9.42","16.05","Torino","TO","Piemonte","45.116768","7.887432"
"1214","Rivalta di Torino","7.11","8.62","8.51","9","Torino","TO","Piemonte","45.027280","7.510778"
"1215","Riva presso Chieri","7.24","9.76","6.89","8.09","Torino","TO","Piemonte","44.984796","7.870444"
"1216","Rivara","8.9","10.45","12.82","13.33","Torino","TO","Piemonte","45.333600","7.623710"
"1217","Rivarolo Canavese","11","12.52","9.33","11.69","Torino","TO","Piemonte","45.330032","7.721104"
"1218","Rivarossa","5.64","11.83","9.88","15.59","Torino","TO","Piemonte","45.250960","7.717890"
"1219","Rivoli","9.89","10.69","10.64","11.99","Torino","TO","Piemonte","45.071090","7.513821"
"1220","Robassomero","10.13","10.78","6.5","8.09","Torino","TO","Piemonte","45.198121","7.566155"
"1221","Rocca Canavese","14.98","11.08","12.71","7.45","Torino","TO","Piemonte","45.308669","7.576247"
"1222","Roletto","10.42","6.98","9.92","8.4","Torino","TO","Piemonte","44.925234","7.330857"
"1223","Romano Canavese","7.91","9.09","11.34","6.66","Torino","TO","Piemonte","45.390546","7.865550"
"1224","Ronco Canavese","52.39","28.57","22.44","19.42","Torino","TO","Piemonte","45.503059","7.548815"
"1225","Rondissone","9.11","9.06","17.92","10.04","Torino","TO","Piemonte","45.246946","7.963590"
"1226","Rorà","22.86","30.95","8.1","12.47","Torino","TO","Piemonte","44.792268","7.198216"
"1227","Roure","12.54","18.52","17.77","20.33","Torino","TO","Piemonte","44.995017","7.136802"
"1228","Rosta","7.47","9.64","8.75","7.49","Torino","TO","Piemonte","45.070539","7.472695"
"1229","Rubiana","6.6","13.2","9.6","12.15","Torino","TO","Piemonte","45.135912","7.384596"
"1230","Rueglio","13.11","22.44","14.38","14.27","Torino","TO","Piemonte","45.468690","7.755327"
"1231","Salassa","7.07","12.44","8.63","14.01","Torino","TO","Piemonte","45.355764","7.692096"
"1232","Salbertrand","8.45","13.42","3.37","8.49","Torino","TO","Piemonte","45.069252","6.877248"
"1233","Salerano Canavese","13.82","3.97","14.07","12.38","Torino","TO","Piemonte","45.458348","7.850231"
"1234","Salza di Pinerolo","13.51","13.42","13.33","0","Torino","TO","Piemonte","44.939716","7.051409"
"1235","Samone","9.27","9.32","11.27","8.18","Torino","TO","Piemonte","45.449055","7.843669"
"1236","San Benigno Canavese","6.9","9.36","6.81","8.44","Torino","TO","Piemonte","45.221970","7.787871"
"1237","San Carlo Canavese","8.48","14.9","11.19","10.74","Torino","TO","Piemonte","45.248612","7.610246"
"1238","San Colombano Belmonte","5.19","12.9","13.25","22.13","Torino","TO","Piemonte","45.381781","7.620450"
"1239","San Didero","7.11","5.38","1.82","11.06","Torino","TO","Piemonte","45.133567","7.215568"
"1240","San Francesco al Campo","8.19","8.19","6.82","9.5","Torino","TO","Piemonte","45.227979","7.646136"
"1241","Sangano","13.2","13.62","13.16","13.3","Torino","TO","Piemonte","45.027008","7.450490"
"1242","San Germano Chisone","15.97","15.03","17.41","15.56","Torino","TO","Piemonte","44.898195","7.239717"
"1243","San Gillio","7.53","9.11","9.76","13.23","Torino","TO","Piemonte","45.142067","7.531747"
"1244","San Giorgio Canavese","14.23","13.55","16.32","17.32","Torino","TO","Piemonte","45.335773","7.795232"
